Animal	ID	Age	Sex	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23
bird	b1	12	M	56	64	58	61	49	42	50	56	64	58	61	49	42	50	49	42	50	56	58	61	49	42	50
mouse	s1	15	F	49	53	60	58	51	48	45	49	53	60	58	51	48	45	51	48	45	49	60	58	51	48	45
mouse	s2	13	M	54	57	62	64	59	51	60	54	57	62	64	59	51	60	59	51	60	54	62	64	59	51	60
bird	b2	16	M	56	45	48	63	49	48	65	56	45	48	63	49	48	65	49	48	65	56	48	63	49	48	65
monkey	k1	14	F	61	60	64	51	60	65	59	61	60	64	51	60	65	59	60	65	59	61	64	51	60	65	59
bird	b3	12	F	51	54	47	50	56	54	57	51	54	47	50	56	54	57	56	54	57	51	47	50	56	54	57
mouse	s3	10	F	63	48	54	62	57	55	60	63	48	54	62	57	55	60	57	55	60	63	54	62	57	55	60
monkey	k2	12	M	47	59	57	61	58	57	53	47	59	57	61	58	57	53	58	57	53	47	57	61	58	57	53
monkey	k3	11	M	65	59	52	53	60	65	61	65	59	52	53	60	65	61	60	65	61	65	52	53	60	65	61
bird	b4	13	F	48	47	51	52	53	56	49	48	47	51	52	53	56	49	53	56	49	48	51	52	53	56	49
bird	b5	15	F	64	62	59	57	60	57	62	64	62	59	57	60	57	62	60	57	62	64	59	57	60	57	62
mouse	s4	17	M	57	54	53	60	58	61	59	57	54	53	60	58	61	59	58	61	59	57	53	60	58	61	59
mouse	s5	10	M	60	63	62	61	64	62	60	60	63	62	61	64	62	60	64	62	60	60	62	61	64	62	60
monkey	k4	12	M	56	54	58	60	53	47	52	56	54	58	60	53	47	52	53	47	52	56	58	60	53	47	52
monkey	k5	16	M	50	59	63	57	51	56	58	50	59	63	57	51	56	58	51	56	58	50	63	57	51	56	58
